question,answer,category
"What is Clement Howell High School?","Clement Howell High School is a secondary educational institution located in the Turks and Caicos Islands. The school follows the Caribbean Examination Council (CXC) curriculum and prepares students for external examinations.",School Information
"Who is the Principal of Clement Howell High School?","The Principal of Clement Howell High School is Mrs. Shanta Seymour.",Administration
"Who teaches IT at Clement Howell High School?","Mr. Asley Smith is the Information Technology teacher at Clement Howell High School.",Faculty
"What examination board does Clement Howell follow?","Clement Howell High School follows the Caribbean Examination Council (CXC) curriculum and prepares students for CXC external examinations.",Academics
"What subjects are offered at CSEC level?","At CSEC level, Clement Howell High School offers core subjects including Mathematics, English A, English B (Literature), Information Technology, Biology, Chemistry, Physics, Principles of Business, Office Administration, Social Studies, Geography, and Spanish.",Academics
"What is the school's mission?","Clement Howell High School is committed to providing quality education that empowers students to achieve academic excellence, develop critical thinking skills, and become responsible citizens in the Turks and Caicos Islands.",School Information
"What are the school hours?","The school operates from Monday to Friday. Regular classes begin at 8:15 AM and end at 2:45 PM.",General Information
"What is the school uniform policy?","Students must wear the official school uniform which consists of a white shirt with the school logo, navy blue pants/skirt, black shoes, and appropriate socks. PE uniform is required for physical education classes.",School Policies
"What extracurricular activities are available?","The school offers various extracurricular activities including sports (football, basketball, volleyball), clubs (debate club, IT club, environmental club), and cultural activities.",Student Life
"How can parents contact the school?","Parents can contact the school through the main office during school hours. The school also maintains regular communication through the student handbook and parent-teacher meetings.",Contact Information
"What is the assessment system?","Students are assessed through a combination of continuous assessment (coursework, projects, tests) and final examinations. CXC examinations are taken at the end of Form 5.",Assessment
"What support services are available for students?","The school provides guidance counseling, academic support, career guidance, and special education services to support student success.",Student Services
"What are the graduation requirements?","To graduate, students must successfully complete their coursework and pass a minimum number of CXC subjects, including Mathematics and English.",Academic Requirements
"Tell me about the IT facilities","The school has modern computer laboratories equipped with up-to-date hardware and software, managed by Mr. Asley Smith. Students have access to computers for both classes and independent study.",Facilities
"What sports programs are available?","Students can participate in various sports including football, basketball, volleyball, track and field, and cricket. The school competes in inter-school tournaments.",Sports
"How does the school handle discipline?","The school follows a structured disciplinary system based on the student handbook, emphasizing respect, responsibility, and positive behavior. Consequences for infractions are clearly outlined.",School Policies
"What is the homework policy?","Students are expected to complete regular homework assignments as part of their academic responsibilities. Homework helps reinforce classroom learning and develop independent study skills.",Academic Policies
"How does the school communicate with parents?","The school maintains regular communication through progress reports, parent-teacher meetings, newsletters, and direct communication when necessary.",Parent Communication
"What career guidance is available?","The school provides career counseling, university application support, and organizes career fairs to help students plan their future education and career paths.",Career Services
"What is the school's approach to technology?","Under the guidance of IT teacher Mr. Asley Smith, the school integrates technology across the curriculum, preparing students for the digital age while following CXC IT curriculum requirements.",Technology 
